"Dstat 0.7.2svn CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","drivers-perf-01",,,,"User:","drivers"
"Cmdline:","dstat --proc --cpu --cpu-use --sys --mem-adv --swap --page --disk -D total,sda,sdb --disk-avgrq --disk-avgqu --disk-svctm --disk-tps --disk-wait --net --time --output cassandra-stress-large-objects.csv 1 370",,,,"Date:","02 Sep 2015 06:32:54 PDT"
"procs",,,"total cpu usage",,,,,"cpu usage",,,,,,,,,,,,,,,,,,,,,,,,"system",,"advanced memory usage",,,,,,,,"swap",,"paging",,"dsk/total",,"dsk/sda",,"dsk/sdb",,"sda","sdb","sda","sdb","sda","sdb","dsk/total",,"dsk/sda",,"dsk/sdb",,"sda",,"sdb",,"net/total",,"system"
"run","blk","new","usr","sys","idl","wai","stl","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","int","csw","total","used","free","buff","cach","dirty","shmem","recl","used","free","in","out","dsk/total:read","dsk/total:writ","dsk/sda:read","dsk/sda:writ","dsk/sdb:read","dsk/sdb:writ","sda:avgrq","sdb:avgrq","sda:avgqu","sdb:avgqu","sda:svctm","sdb:svctm","dsk/total:#read","dsk/total:#writ","dsk/sda:#read","dsk/sda:#writ","dsk/sdb:#read","dsk/sdb:#writ","sda:rawait","sda:wawait","sdb:rawait","sdb:wawait","recv","send","time"
0,0,0.040,0.170,0.149,99.678,0.003,0,0.244,0.228,0.226,1.094,0.509,0.346,0.391,0.378,0.389,0.410,0.400,0.374,0.161,0.175,0.162,0.162,0.162,0.160,0.262,0.461,0.250,0.275,0.257,0.255,2276.757,4414.629,135170646016,10239041536,115107074048,205701120,9291055104,352256,1007616,328781824,0,0,0,0,2709.750,2347177.973,2652.876,1276423.796,56.875,1070754.177,4528.795,118692.342,0.038,0.000,1.239,0.403,0.054,0.514,0.044,0.506,0.009,0.008,1.844,75.086,0.304,0.536,0,0,02-09 06:32:54
0,0,0,0.042,0.125,99.833,0,0,0,0,0,1.010,0,0,1.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,1310,135170646016,10238652416,115107463168,205701120,9291055104,352256,1007616,328781824,0,0,0,0,0,294912,0,294912,0,0,8,0,0,0,0,0,0,72,0,72,0,0,0,0,0,0,1080,5750,02-09 06:32:55
0,0,0,0.083,0.083,99.833,0,0,0,0,0,1.980,0.990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.980,0,0,0,0,580,1246,135170646016,10238394368,115107676160,205701120,9291055104,57344,1007616,328826880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,2798,02-09 06:32:56
0,0,0,0.125,0.208,99.667,0,0,0,0,0,0,0,0,0,0,0,0.990,1.961,3.960,0,0,0,0,0,1,0,0,0,0,0.990,0,828,1727,135170646016,10237857792,115108212736,205701120,9291055104,57344,1007616,328826880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,19788,02-09 06:32:57
0,0,0,0.042,0.083,99.833,0.042,0,0,0.990,0,1,0,0,0.990,0,0,1,0,0,0,0,0,0,0.990,0,0,1,0,0.990,0,0,591,1287,135170646016,10237849600,115108212736,205709312,9291055104,57344,1007616,328826880,0,0,0,0,0,28672,0,28672,0,0,28,0,0.008,0,4,0,0,2,0,2,0,0,0,4,0,0,666,2396,02-09 06:32:58
0,0,0,0.042,0.083,99.875,0,0,0,0,0,1.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990,0,0,0,0,597,1264,135170646016,10237554688,115108507648,205709312,9291055104,57344,1007616,328826880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,2662,02-09 06:32:59
2,0,9,9.812,1.127,88.225,0.835,0,12.121,26.471,21.212,28,17,36.634,8.081,5.051,5.941,11.881,8,10.101,6.931,4.040,22,18,12.121,9.184,6,3,3,5.051,2.970,1.980,19099,32460,135170646016,10388807680,114957156352,205807616,9291055104,102400,1007616,328826880,0,0,0,0,0,2002944,0,2002944,0,0,32.331,0,0.248,0,1.818,0,0,121,0,121,0,0,0,2.050,0,0,14103,103447,02-09 06:33:00
0,0,0,0.417,0.083,99.500,0,0,0,0,0,1,0,0,0,0.990,6,0,0,0,0,0,2,0,0,0.990,0,0,0,0,0,0,679,1461,135170646016,10388856832,114957242368,205807616,9290919936,176128,1007616,328826880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,3122,02-09 06:33:01
0,0,0,0.167,0.208,99.625,0,0,0,0,0,1.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0.990,795,1607,135170646016,10389540864,114956480512,205807616,9290997760,352256,1007616,328826880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,18372,02-09 06:33:02
